s3_key,collect,path,step,filename,size_bytes,last_modified,category
IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_HiResLIDAR_1x_DistStA.las,IHTest_202009_DistStA,Path1_DistStA,Path1_Step1_DistStA,IHTest_202009_Path1_Step1_HiResLIDAR_1x_DistStA.las,87082527,2024-05-02T12:53:00+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_LWHSI1__DistStA.bsq,IHTest_202009_DistStA,Path1_DistStA,Path1_Step1_DistStA,IHTest_202009_Path1_Step1_LWHSI1__DistStA.bsq,340787200,2024-05-02T12:44:55+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_LWHSI1__DistStA.hdr,IHTest_202009_DistStA,Path1_DistStA,Path1_Step1_DistStA,IHTest_202009_Path1_Step1_LWHSI1__DistStA.hdr,3583,2024-05-02T12:47:22+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_HiResLIDAR_1x_DistStA.las,IHTest_202009_DistStA,Path1_DistStA,Path1_Step2_DistStA,IHTest_202009_Path1_Step2_HiResLIDAR_1x_DistStA.las,88608967,2024-05-02T12:56:02+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_LWHSI1__DistStA.bsq,IHTest_202009_DistStA,Path1_DistStA,Path1_Step2_DistStA,IHTest_202009_Path1_Step2_LWHSI1__DistStA.bsq,340787200,2024-05-02T12:56:44+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_LWHSI1__DistStA.hdr,IHTest_202009_DistStA,Path1_DistStA,Path1_Step2_DistStA,IHTest_202009_Path1_Step2_LWHSI1__DistStA.hdr,3583,2024-05-02T12:59:05+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_HiResLIDAR_1x_DistStA.las,IHTest_202009_DistStA,Path1_DistStA,Path1_Step3_DistStA,IHTest_202009_Path1_Step3_HiResLIDAR_1x_DistStA.las,89137847,2024-05-02T13:16:55+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_LWHSI1__DistStA.bsq,IHTest_202009_DistStA,Path1_DistStA,Path1_Step3_DistStA,IHTest_202009_Path1_Step3_LWHSI1__DistStA.bsq,340787200,2024-05-02T13:26:50+00:00,raw
IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_LWHSI1__DistStA.hdr,IHTest_202009_DistStA,Path1_DistStA,Path1_Step3_DistStA,IHTest_202009_Path1_Step3_LWHSI1__DistStA.hdr,3583,2024-05-02T13:28:47+00:00,raw
IHTest_202009_DistStA/Path2_DistStA/Path2_Step1_DistStA/IHTest_202009_Path2_Step1_LWHSI1__DistStA.bsq,IHTest_202009_DistStA,Path2_DistStA,Path2_Step1_DistStA,IHTest_202009_Path2_Step1_LWHSI1__DistStA.bsq,340787200,2024-05-02T13:36:20+00:00,raw
