scene_id,scene,collection,path,step,path_name,step_name,source_pool,scene_dir,hdr_path,bsq_path,original_cyl_path,original_corresp_path,manual_picks_path,benchmark_corresp_path,benchmark_cyl_path,las_path,sensor_id,sensor_num_bands,fit_rmse_total_px,num_picked_pairs,fit_json,session_json,has_fit_json,has_session_json,join_key
IHTest_202009_DistStA/Path1_DistStA/Path1_Step1,IHTest_202009_DistStA / path1 / path1_step1,IHTest_202009_DistStA,path1,path1_step1,Path1_DistStA,Path1_Step1,without_prior_cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/fitted.cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step1_DistStA/IHTest_202009_Path1_Step1_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,4.1762472582486,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/session.json,True,True,IHTest_202009_DistStA|path1|path1_step1
IHTest_202009_DistStA/Path1_DistStA/Path1_Step2,IHTest_202009_DistStA / path1 / path1_step2,IHTest_202009_DistStA,path1,path1_step2,Path1_DistStA,Path1_Step2,without_prior_cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/fitted.cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step2_DistStA/IHTest_202009_Path1_Step2_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,1.3489221053240341,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/session.json,True,True,IHTest_202009_DistStA|path1|path1_step2
IHTest_202009_DistStA/Path1_DistStA/Path1_Step3,IHTest_202009_DistStA / path1 / path1_step3,IHTest_202009_DistStA,path1,path1_step3,Path1_DistStA,Path1_Step3,without_prior_cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/fitted.cyl,/disk/IHTest_202009_DistStA/Path1_DistStA/Path1_Step3_DistStA/IHTest_202009_Path1_Step3_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,0.47149406425259127,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/session.json,True,True,IHTest_202009_DistStA|path1|path1_step3
IHTest_202009_DistStA/Path3_DistStA/Path3_Step1,IHTest_202009_DistStA / path3 / path3_step1,IHTest_202009_DistStA,path3,path3_step1,Path3_DistStA,Path3_Step1,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step1_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step1_DistStA/IHTest_202009_Path3_Step1_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step1_DistStA/IHTest_202009_Path3_Step1_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step1_DistStA/IHTest_202009_Path3_Step1_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,9.368535167247597,15.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/session.json,True,True,IHTest_202009_DistStA|path3|path3_step1
IHTest_202009_DistStA/Path3_DistStA/Path3_Step2,IHTest_202009_DistStA / path3 / path3_step2,IHTest_202009_DistStA,path3,path3_step2,Path3_DistStA,Path3_Step2,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step2_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step2_DistStA/IHTest_202009_Path3_Step2_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step2_DistStA/IHTest_202009_Path3_Step2_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step2_DistStA/IHTest_202009_Path3_Step2_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,9.926621804863268,15.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/session.json,True,True,IHTest_202009_DistStA|path3|path3_step2
IHTest_202009_DistStA/Path3_DistStA/Path3_Step3,IHTest_202009_DistStA / path3 / path3_step3,IHTest_202009_DistStA,path3,path3_step3,Path3_DistStA,Path3_Step3,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step3_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step3_DistStA/IHTest_202009_Path3_Step3_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step3_DistStA/IHTest_202009_Path3_Step3_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step3_DistStA/IHTest_202009_Path3_Step3_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,14.62031422742191,12.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/session.json,True,True,IHTest_202009_DistStA|path3|path3_step3
IHTest_202009_DistStA/Path3_DistStA/Path3_Step4,IHTest_202009_DistStA / path3 / path3_step4,IHTest_202009_DistStA,path3,path3_step4,Path3_DistStA,Path3_Step4,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step4_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step4_DistStA/IHTest_202009_Path3_Step4_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step4_DistStA/IHTest_202009_Path3_Step4_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step4_DistStA/IHTest_202009_Path3_Step4_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,1.7288933910102149,8.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/session.json,True,True,IHTest_202009_DistStA|path3|path3_step4
IHTest_202009_DistStA/Path3_DistStA/Path3_Step5,IHTest_202009_DistStA / path3 / path3_step5,IHTest_202009_DistStA,path3,path3_step5,Path3_DistStA,Path3_Step5,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step5_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step5_DistStA/IHTest_202009_Path3_Step5_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step5_DistStA/IHTest_202009_Path3_Step5_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step5_DistStA/IHTest_202009_Path3_Step5_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,16.562666959313663,11.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/session.json,True,True,IHTest_202009_DistStA|path3|path3_step5
IHTest_202009_DistStA/Path3_DistStA/Path3_Step6,IHTest_202009_DistStA / path3 / path3_step6,IHTest_202009_DistStA,path3,path3_step6,Path3_DistStA,Path3_Step6,without_prior_cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step6_DistStA,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step6_DistStA/IHTest_202009_Path3_Step6_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step6_DistStA/IHTest_202009_Path3_Step6_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fitted.cyl,/disk/IHTest_202009_DistStA/Path3_DistStA/Path3_Step6_DistStA/IHTest_202009_Path3_Step6_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,1.5871155708681748,9.0,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/session.json,True,True,IHTest_202009_DistStA|path3|path3_step6
IHTest_202009_DistStA/Path4_DistStA/Path4_Step1,IHTest_202009_DistStA / path4 / path4_step1,IHTest_202009_DistStA,path4,path4_step1,Path4_DistStA,Path4_Step1,without_prior_cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step1_DistStA,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step1_DistStA/IHTest_202009_Path4_Step1_LWHSI1__DistStA.hdr,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step1_DistStA/IHTest_202009_Path4_Step1_LWHSI1__DistStA.bsq,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/picks.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/generated_corresp.txt,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/fitted.cyl,/disk/IHTest_202009_DistStA/Path4_DistStA/Path4_Step1_DistStA/IHTest_202009_Path4_Step1_HiResLIDAR_1x_DistStA.las,LWHSI1,256.0,43.16022058178576,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/session.json,True,True,IHTest_202009_DistStA|path4|path4_step1
