collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json,distance_agreement_available_current,distance_sampled_points,distance_missing_depth_points,distance_scene_error_count,distance_near_points_0_10m,distance_middle_points_10_100m,distance_far_points_100_inf,distance_max_error_percent_of_picked_range,distance_median_error_percent_of_picked_range,distance_mean_error_percent_of_picked_range,distance_max_error_m,distance_median_error_m,distance_all_points_pass_le_1pct,distance_all_points_pass_le_5pct,candidate_rmse5_distance5_current
IHTest_202104_DistStA,path11,path11_step1,IHTest_202104_DistStA / path11 / path11_step1,with_prior_cyl,False,True,True,missing_session_json,,,1.0060159959957617,0.9462331782229115,0.34162985324692063,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path11/path11_step1/fit.json,,True,8,0,0,0,6,2,18.15508882617443,0.24571047564734838,2.4755324710483104,11.709784956737138,0.16033660071178701,False,False,False
IHTest_202104_DistStA,path11,path11_step15,IHTest_202104_DistStA / path11 / path11_step15,with_prior_cyl,False,True,True,missing_session_json,,,1.3449977516350362,1.0294988353848749,0.8655351522870046,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path11/path11_step15/fit.json,,True,8,0,0,0,5,3,1.3616292315619312,0.1889406120436742,0.34222401601912134,0.7298594929705615,0.11802654146394076,False,True,True
IHTest_202104_DistStA,path15,path15_step1,IHTest_202104_DistStA / path15 / path15_step1,with_prior_cyl,False,True,True,missing_session_json,,,1.972596255405726,1.8280211836529707,0.741265498291053,True,True,13,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step1/fit.json,,True,13,0,0,0,13,0,0.4310444174091134,0.25965547469610833,0.2824949457442984,0.41031795029400087,0.13281391170055912,True,True,True
IHTest_202104_DistStA,path15,path15_step11,IHTest_202104_DistStA / path15 / path15_step11,with_prior_cyl,False,True,True,missing_session_json,,,0.49034566486191705,0.41004457330247035,0.268890905301891,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step11/fit.json,,True,8,0,1,0,8,0,0.40284115235831436,0.2855919690166267,0.27573897351089893,0.14084635756808694,0.09083143449075592,False,False,False
IHTest_202104_DistStA,path15,path15_step15,IHTest_202104_DistStA / path15 / path15_step15,with_prior_cyl,False,True,True,missing_session_json,,,1.5115510825387928,1.4437141619528144,0.4477455680418061,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step15/fit.json,,True,8,0,1,0,8,0,2.730893425287995,0.30919042054291157,0.5948781646307946,0.5180004290879054,0.10029416144159953,False,False,False
IHTest_202104_DistStA,path15,path15_step16,IHTest_202104_DistStA / path15 / path15_step16,with_prior_cyl,False,True,True,missing_session_json,,,1.3153217187965873,1.2946986319328573,0.23200576805156636,True,True,10,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step16/fit.json,,True,10,0,1,0,10,0,5.6667080396592535,0.2654492046328738,0.7814839887414755,1.8568342182596282,0.07689176173722245,False,False,False
IHTest_202104_DistStA,path15,path15_step21,IHTest_202104_DistStA / path15 / path15_step21,with_prior_cyl,True,True,True,annotated,good,,3.957005199759523,3.9337314066528526,0.4285409796470655,True,True,8,142.728,142.728,,2,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step21/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step21/session.json,True,15,0,0,0,15,0,28.27670809322226,0.5212325402925306,5.3693098988828885,5.4974895002852335,0.1461999961852669,False,False,False
IHTest_202104_DistStA,path15,path15_step23,IHTest_202104_DistStA / path15 / path15_step23,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path15,path15_step25,IHTest_202104_DistStA / path15 / path15_step25,with_prior_cyl,False,True,True,missing_session_json,,,686.7752046656611,686.6885228423424,10.911202507629966,False,False,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step25/fit.json,,True,3,5,1,0,3,0,40.86882965798178,33.33074995294181,35.26971734570097,12.222985916103848,11.965497757020472,False,False,False
IHTest_202104_DistStA,path15,path15_step26,IHTest_202104_DistStA / path15 / path15_step26,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path15,path15_step5,IHTest_202104_DistStA / path15 / path15_step5,with_prior_cyl,False,True,True,missing_session_json,,,0.8511885555566326,0.7926666219804533,0.31016380109336383,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step5/fit.json,,True,8,0,0,0,8,0,0.9126440633585294,0.3141492155353882,0.3657605403103137,0.17346144817623355,0.1010246419636811,True,True,True
IHTest_202104_DistStA,path15,path15_step6,IHTest_202104_DistStA / path15 / path15_step6,with_prior_cyl,False,True,True,missing_session_json,,,0.4955491125382136,0.46953801739150425,0.15843917811408434,True,True,8,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step6/fit.json,,True,8,0,0,0,8,0,4.094764636703735,0.4165674416531318,1.0357255953451676,1.378863505211406,0.17392326036565464,False,True,True
IHTest_202104_DistStA,path17,path17_step1,IHTest_202104_DistStA / path17 / path17_step1,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path17,path17_step14,IHTest_202104_DistStA / path17 / path17_step14,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path17,path17_step23,IHTest_202104_DistStA / path17 / path17_step23,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path17,path17_step9,IHTest_202104_DistStA / path17 / path17_step9,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,computed_r4p0_frozen,,,False,0,0,0,0,0,0,,,,,,False,False,False
IHTest_202104_DistStA,path19,path19_step1,IHTest_202104_DistStA / path19 / path19_step1,with_prior_cyl,False,True,True,missing_session_json,,,2.011660236246404,1.6481027390040222,1.1534878706698124,True,True,12,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step1/fit.json,,True,12,0,0,0,12,0,6.539031821501126,0.5776675305213574,1.9114420824792864,3.7921237235824847,0.1946888832733933,False,False,False
IHTest_202104_DistStA,path19,path19_step11,IHTest_202104_DistStA / path19 / path19_step11,with_prior_cyl,False,True,True,missing_session_json,,,15.92449537565469,14.270767542049569,7.066452202486913,False,False,14,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step11/fit.json,,True,12,2,0,0,12,0,90.22063853395677,4.377456165757721,24.10581842479898,74.10481981656088,1.7604704962606572,False,False,False
IHTest_202104_DistStA,path19,path19_step14,IHTest_202104_DistStA / path19 / path19_step14,with_prior_cyl,False,True,True,missing_session_json,,,39.11589296278783,38.88456514601551,4.247784796991343,False,False,18,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step14/fit.json,,True,14,4,0,0,14,0,34.64750804544534,3.6412058109920906,10.175423464485679,17.598400135234435,1.5792815973955037,False,False,False
IHTest_202104_DistStA,path19,path19_step17,IHTest_202104_DistStA / path19 / path19_step17,with_prior_cyl,False,True,True,missing_session_json,,,16.880599674196482,16.851525427214277,0.9903212289116415,False,False,14,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step17/fit.json,,True,11,3,0,0,11,0,5.889573719613303,0.22845849324007492,1.0415871472709843,1.9763611072944371,0.0695424900606838,False,False,False
IHTest_202104_DistStA,path19,path19_step20,IHTest_202104_DistStA / path19 / path19_step20,with_prior_cyl,False,True,True,missing_session_json,,,41.397551867129124,41.26800103182908,3.2725206536552043,False,False,14,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step20/fit.json,,True,13,1,0,0,11,2,21.222172012713585,1.4773197618498155,4.544511090981557,15.987168315048123,0.759052987604008,False,False,False
IHTest_202104_DistStA,path19,path19_step5,IHTest_202104_DistStA / path19 / path19_step5,with_prior_cyl,False,True,True,missing_session_json,,,3.149474623967721,3.0712064886555033,0.6977686658606522,True,True,10,,,,,,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step5/fit.json,,True,10,0,0,0,10,0,84.9473642581799,0.9545706189432162,17.88784479593855,43.42818390647517,0.2286988576869895,False,False,False
IHTest_202104_DistStA,path24,path24_step1,IHTest_202104_DistStA / path24 / path24_step1,with_prior_cyl,True,True,True,annotated,good,,1.7830018360507327,1.6676280760783522,0.63096128822258,True,True,9,371.549541,371.549541,,1,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/session.json,True,9,0,0,0,8,1,67.69977744326617,0.8034809190256678,10.268092086510858,68.28956397118387,0.3756537170977836,False,False,False
IHTest_202104_DistStA,path24,path24_step14,IHTest_202104_DistStA / path24 / path24_step14,with_prior_cyl,True,True,True,annotated,usable with caution,,9.872392973447814,9.121341952868159,3.7769384428434973,False,True,10,236.849742,236.849742,,1,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/session.json,True,9,1,0,0,9,0,13.454689826299607,0.6105513598891923,2.0039361360703136,4.47905534005244,0.12780289631931652,False,False,False
IHTest_202104_DistStA,path24,path24_step18,IHTest_202104_DistStA / path24 / path24_step18,with_prior_cyl,True,True,True,annotated,good,,6.1950366425182555,4.362786605172416,4.398246473297285,False,True,12,274.185104,274.185104,,0,0,computed_r4p0_frozen,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/session.json,True,12,0,0,0,12,0,29.6084787739956,0.1187152524268962,2.8170570179821524,14.470945954735683,0.02399588214028192,False,False,False
