frozen_manifest_version,scene_manifest_scope,collection,path,step,scene,release_registration_policy,registration_provenance_current,legacy_prior_cyl_member,legacy_source_pool,release_decision,release_reason,frozen_quant_gate_pass,prediction_ready_current,prediction_exclusion_reason_current,verdict,annotation_status,fit_ready,has_session_json,has_fit_json,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_plausible_for_summary,replacement_count,clear_count,distance_agreement_status,distance_agreement_available_current,distance_sampled_points,distance_missing_depth_points,distance_scene_error_count,distance_near_points_0_10m,distance_middle_points_10_100m,distance_far_points_100_inf,distance_max_error_percent_of_picked_range,distance_median_error_percent_of_picked_range,distance_mean_error_percent_of_picked_range,distance_max_error_m,distance_median_error_m,distance_all_points_pass_le_1pct,distance_all_points_pass_le_5pct,candidate_rmse5_distance5_current,has_cleanup_review,cleanup_status,cleanup_region_count,cleanup_region_ids_json,cleanup_regions_json,selection_mode_summary_json,center_x_m,center_y_m,center_z_m,half_extent_m,removed_points,kept_points,source_projection_las,cleaned_las,raw_overlay,cleanup_overlay,updated_at,fit_json,session_json,projected_depth_label_path_current,exclusion_reason,timing_exclusion_reason,qc_status,qc_majority_verdict,qc_num_reviews,qc_vote_good,qc_vote_usable_with_caution,qc_vote_bad,qc_mean_seconds,qc_notes,corresp_path,cyl_path,hdr_path,bsq_path,las_path,join_key
v0,all_306_scenes,IHTest_202009_DistStA,path1,path1_step1,IHTest_202009_DistStA / path1 / path1_step1,ours_only,ours_fit_ready,False,without_prior_cyl,defer,does not meet frozen rmse5+distance5 gate,False,True,,good,annotated,True,True,True,4.1762472582486,4.07094991712958,0.9318840776897176,True,True,8,235.898256,0.0,0.0,computed_r4p0_frozen,True,8,0,0,0,8,0,5.795105840496924,0.4342737072578023,1.2156194537965457,2.7301993846337567,0.2543327911213389,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step1/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path1/path1_step1/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path1|path1_step1
v0,all_306_scenes,IHTest_202009_DistStA,path1,path1_step2,IHTest_202009_DistStA / path1 / path1_step2,ours_only,ours_fit_ready,False,without_prior_cyl,include,,True,True,,good,annotated,True,True,True,1.348922105324034,1.216716429584714,0.5824019026500953,True,True,8,530.326548,0.0,0.0,computed_r4p0_frozen,True,8,0,0,0,7,1,1.6461296266682164,0.1802186118111315,0.5452980018496169,1.678616884054236,0.1297469223639638,False,True,True,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step2/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path1/path1_step2/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path1|path1_step2
v0,all_306_scenes,IHTest_202009_DistStA,path1,path1_step3,IHTest_202009_DistStA / path1 / path1_step3,ours_only,ours_fit_ready,False,without_prior_cyl,include,,True,True,,good,annotated,True,True,True,0.4714940642525912,0.4616221638152958,0.0959772394889062,True,True,8,187.455074,0.0,0.0,computed_r4p0_frozen,True,8,0,0,0,8,0,1.693937395049823,0.1421718483108891,0.3452855372028318,1.4858640273076702,0.0667540800969881,False,True,True,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path1/path1_step3/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path1/path1_step3/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path1|path1_step3
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step1,IHTest_202009_DistStA / path3 / path3_step1,ours_only,ours_fit_ready,False,without_prior_cyl,exclude,qc verdict bad,False,True,,bad,annotated,True,True,True,9.368535167247597,5.989772891929048,7.20361519537703,False,True,15,574.475203,14.0,0.0,computed_r4p0_frozen,True,13,2,0,0,13,0,49.19698824968611,0.1370624402286364,5.458746534662107,30.2072872593035,0.050871127801372,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step1/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step1/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step1
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step2,IHTest_202009_DistStA / path3 / path3_step2,ours_only,ours_fit_ready,False,without_prior_cyl,exclude,qc verdict bad,False,True,,bad,annotated,True,True,True,9.926621804863268,9.378107245334249,3.2540628377147427,False,True,15,403.291203,18.0,0.0,computed_r4p0_frozen,True,14,1,0,0,14,0,73.3753254806595,0.2810786205204463,6.874376214375958,15.226636595642024,0.0798569920389784,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step2/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step2/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step2
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step3,IHTest_202009_DistStA / path3 / path3_step3,ours_only,ours_fit_ready,False,without_prior_cyl,exclude,qc verdict bad,False,True,,bad,annotated,True,True,True,14.62031422742191,12.954299633232417,6.777883823214295,False,False,12,975.052729,45.0,0.0,computed_r4p0_frozen,True,8,4,0,0,8,0,32.27388631895498,0.3643055622092335,6.2976361193052615,13.52437363511764,0.1661504709423127,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step3/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step3/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step3
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step4,IHTest_202009_DistStA / path3 / path3_step4,ours_only,ours_fit_ready,False,without_prior_cyl,defer,qc verdict usable with caution,False,True,,usable with caution,annotated,True,True,True,1.7288933910102149,1.2358067332690064,1.209071575832377,True,True,8,217.196968,2.0,0.0,computed_r4p0_frozen,True,8,0,0,0,8,0,1.7446708695706534,0.1212163012014533,0.5658159737206623,0.4860884058747317,0.0397142390177371,False,True,True,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step4/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step4/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step4
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step5,IHTest_202009_DistStA / path3 / path3_step5,ours_only,ours_fit_ready,False,without_prior_cyl,defer,qc verdict usable with caution,False,True,,usable with caution,annotated,True,True,True,16.562666959313663,7.698345250486352,14.664836078506122,False,False,11,622.757151,30.0,0.0,computed_r4p0_frozen,True,9,2,0,0,9,0,11.003898611924592,0.0591969368476786,1.7791630361552275,2.891852245068538,0.0271137021430334,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step5/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step5/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step5
v0,all_306_scenes,IHTest_202009_DistStA,path3,path3_step6,IHTest_202009_DistStA / path3 / path3_step6,ours_only,ours_fit_ready,False,without_prior_cyl,defer,does not meet frozen rmse5+distance5 gate,False,True,,good,annotated,True,True,True,1.5871155708681748,1.3951114529111428,0.7567032901001374,True,True,9,230.050991,2.0,0.0,computed_r4p0_frozen,True,9,0,0,0,9,0,17.0395254477517,0.1184047736291959,2.48017697829813,3.808399746206735,0.0327829141750157,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path3/path3_step6/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path3/path3_step6/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path3|path3_step6
v0,all_306_scenes,IHTest_202009_DistStA,path4,path4_step1,IHTest_202009_DistStA / path4 / path4_step1,ours_only,ours_fit_ready,False,without_prior_cyl,exclude,qc verdict bad,False,True,,bad,annotated,True,True,True,43.16022058178576,39.658493760114965,17.02963632457621,False,False,9,556.390081,4.0,0.0,computed_r4p0_frozen,True,9,0,0,0,0,9,36.97169583334217,10.368831412335748,14.7737383392528,51.66637801777745,13.209560301305174,False,False,False,False,not_reviewed,0,,,,,,,,,,,,,,,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202009_DistStA/path4/path4_step1/session.json,analysis/depth_labels/platform_sphere_r4p0/IHTest_202009_DistStA/path4/path4_step1/projected_lidar_depth_label.npz,,,,,,,,,,,,,,,,IHTest_202009_DistStA|path4|path4_step1
