order,benchmark_manifest,split_subset,input_variant,model,model_name,num_scenes,mean_abs_rel,mean_rmse_m,mean_ssi_abs_rel,mean_ssi_rmse_m,mean_delta1,mean_ssi_delta1,source_summary,source_result_dir,notes
1,manifests/07_split_definition_v0/scene_splits.csv,test,pseudogrey_sum_bands,depthpro,depthpro,10.0,0.553238,28.180306,0.210114,12.064365,,,,analysis/evaluation/baseline_predictions_split07_test/summary.csv,benchmark split on test scenes
2,manifests/07_split_definition_v0/scene_splits.csv,test,pseudogrey_sum_bands,depthanythingv2,depthanythingv2,10.0,0.798231,37.060396,0.296966,15.877073,,,,analysis/evaluation/baseline_predictions_split07_test/summary.csv,benchmark split on test scenes
3,manifests/07_split_definition_v0/scene_splits.csv,test,pseudogrey_sum_bands,unidepthv2,lpiccinelli/unidepth-v2-vitl14,10.0,0.492425,22.378765,0.13398,9.748778,,,,analysis/evaluation/baseline_predictions_split07_test/summary.csv,benchmark split on test scenes
4,manifests/07_split_definition_v0/scene_splits.csv,test,pseudogrey_sum_bands,unik3d,lpiccinelli/unik3d-vitl,10.0,0.582378,26.246511,0.162299,10.647288,,,,analysis/evaluation/baseline_predictions_split07_test/summary.csv,benchmark split on test scenes
5,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,depthanythingv2_hsi,depth-anything/Depth-Anything-V2-Metric-Outdoor-Small-hf,10.0,0.8136576394318744,36.63891841175276,0.3073406446350129,15.988828057618452,0.0,0.4543128743435843,analysis/evaluation/hsi_benchmark_predictions_split07_test_chunked/summary.json,analysis/evaluation/hsi_benchmark_predictions_split07_test_chunked,first HSI benchmark result
6,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,unidepthv2_hsi_patch,lpiccinelli/unidepth-v2-vitl14,10.0,0.4891949584669731,22.19439324559192,0.1299300675367728,9.274066765178652,0.0131052752685766,0.8532845049268548,analysis/evaluation/hsi_benchmark_predictions_split07_test/unidepthv2_hsi/unidepthv2_hsi_patch/metrics_summary.json,analysis/evaluation/hsi_benchmark_predictions_split07_test/unidepthv2_hsi,gpu inference on benchmark test set
7,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,unik3d_hsi_patch,lpiccinelli/unik3d-vitl,10.0,0.5263333822172619,23.735118624834836,0.13386868787596823,9.283895720047607,0.006222556513641954,0.8392171639237244,analysis/evaluation/hsi_benchmark_predictions_split07_test/unik3d_hsi/unik3d_hsi_patch/metrics_summary.json,analysis/evaluation/hsi_benchmark_predictions_split07_test/unik3d_hsi,gpu inference on benchmark test set
8,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,hyperspectral,hyperspectral,10.0,1.983144163906904,68.52809955203756,0.4179449176843934,20.030916318872237,,,analysis/evaluation/physics_benchmark_predictions_split07_test/hyperspectral/hyperspectral_eval_padded/metrics_summary.json,analysis/evaluation/physics_benchmark_predictions_split07_test/hyperspectral/hyperspectral_eval_padded,evaluation used padded manifest copy because one prediction had shape 256x1280 and GT had shape 260x1280
9,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,bispectral,bispectral,10.0,9.745294232317413,389.72716154001625,0.3549071463372331,15.91394847641232,,,analysis/evaluation/physics_benchmark_predictions_split07_test/bispectral/bispectral/metrics_summary.json,analysis/evaluation/physics_benchmark_predictions_split07_test/bispectral/bispectral,physics-based baseline on split07 test
10,manifests/07_split_definition_v0/scene_splits.csv,test,hsi,quadspectral,quadspectral,10.0,6.920135784339041,302.86740792457687,0.3537790811476872,16.53840531790889,,,analysis/evaluation/physics_benchmark_predictions_split07_test/quadspectral/quadspectral/metrics_summary.json,analysis/evaluation/physics_benchmark_predictions_split07_test/quadspectral/quadspectral,physics-based baseline on split07 test
