collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json
IHTest_202104_DistStA,path11,path11_step1,IHTest_202104_DistStA / path11 / path11_step1,with_prior_cyl,False,True,True,missing_session_json,,,1.0060159959957617,0.9462331782229115,0.34162985324692063,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path11/path11_step1/fit.json,
IHTest_202104_DistStA,path11,path11_step15,IHTest_202104_DistStA / path11 / path11_step15,with_prior_cyl,False,True,True,missing_session_json,,,1.3449977516350362,1.0294988353848749,0.8655351522870046,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path11/path11_step15/fit.json,
IHTest_202104_DistStA,path15,path15_step1,IHTest_202104_DistStA / path15 / path15_step1,with_prior_cyl,False,True,True,missing_session_json,,,1.972596255405726,1.8280211836529707,0.741265498291053,True,True,13,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step1/fit.json,
IHTest_202104_DistStA,path15,path15_step11,IHTest_202104_DistStA / path15 / path15_step11,with_prior_cyl,False,True,True,missing_session_json,,,0.49034566486191705,0.41004457330247035,0.268890905301891,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step11/fit.json,
IHTest_202104_DistStA,path15,path15_step15,IHTest_202104_DistStA / path15 / path15_step15,with_prior_cyl,False,True,True,missing_session_json,,,1.5115510825387928,1.4437141619528144,0.4477455680418061,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step15/fit.json,
IHTest_202104_DistStA,path15,path15_step16,IHTest_202104_DistStA / path15 / path15_step16,with_prior_cyl,False,True,True,missing_session_json,,,1.3153217187965873,1.2946986319328573,0.23200576805156636,True,True,10,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step16/fit.json,
IHTest_202104_DistStA,path15,path15_step21,IHTest_202104_DistStA / path15 / path15_step21,with_prior_cyl,True,True,True,annotated,good,,3.957005199759523,3.9337314066528526,0.4285409796470655,True,True,8,142.728,142.728,,2,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step21/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step21/session.json
IHTest_202104_DistStA,path15,path15_step23,IHTest_202104_DistStA / path15 / path15_step23,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path15,path15_step25,IHTest_202104_DistStA / path15 / path15_step25,with_prior_cyl,False,True,True,missing_session_json,,,686.7752046656611,686.6885228423424,10.911202507629966,False,False,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path15/path15_step25/fit.json,
IHTest_202104_DistStA,path15,path15_step26,IHTest_202104_DistStA / path15 / path15_step26,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
