scene_id,collection,path,step,path_name,step_name,pool
IHTest_202009_DistStA/Path1_DistStA/Path1_Step1,IHTest_202009_DistStA,path1,path1_step1,Path1_DistStA,Path1_Step1,without_prior_cyl
IHTest_202009_DistStA/Path1_DistStA/Path1_Step2,IHTest_202009_DistStA,path1,path1_step2,Path1_DistStA,Path1_Step2,without_prior_cyl
IHTest_202009_DistStA/Path1_DistStA/Path1_Step3,IHTest_202009_DistStA,path1,path1_step3,Path1_DistStA,Path1_Step3,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step1,IHTest_202009_DistStA,path3,path3_step1,Path3_DistStA,Path3_Step1,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step2,IHTest_202009_DistStA,path3,path3_step2,Path3_DistStA,Path3_Step2,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step3,IHTest_202009_DistStA,path3,path3_step3,Path3_DistStA,Path3_Step3,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step4,IHTest_202009_DistStA,path3,path3_step4,Path3_DistStA,Path3_Step4,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step5,IHTest_202009_DistStA,path3,path3_step5,Path3_DistStA,Path3_Step5,without_prior_cyl
IHTest_202009_DistStA/Path3_DistStA/Path3_Step6,IHTest_202009_DistStA,path3,path3_step6,Path3_DistStA,Path3_Step6,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step1,IHTest_202009_DistStA,path4,path4_step1,Path4_DistStA,Path4_Step1,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step10,IHTest_202009_DistStA,path4,path4_step10,Path4_DistStA,Path4_Step10,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step11,IHTest_202009_DistStA,path4,path4_step11,Path4_DistStA,Path4_Step11,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step12,IHTest_202009_DistStA,path4,path4_step12,Path4_DistStA,Path4_Step12,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step13,IHTest_202009_DistStA,path4,path4_step13,Path4_DistStA,Path4_Step13,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step14,IHTest_202009_DistStA,path4,path4_step14,Path4_DistStA,Path4_Step14,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step15,IHTest_202009_DistStA,path4,path4_step15,Path4_DistStA,Path4_Step15,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step16,IHTest_202009_DistStA,path4,path4_step16,Path4_DistStA,Path4_Step16,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step2,IHTest_202009_DistStA,path4,path4_step2,Path4_DistStA,Path4_Step2,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step3,IHTest_202009_DistStA,path4,path4_step3,Path4_DistStA,Path4_Step3,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step4,IHTest_202009_DistStA,path4,path4_step4,Path4_DistStA,Path4_Step4,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step5,IHTest_202009_DistStA,path4,path4_step5,Path4_DistStA,Path4_Step5,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step6,IHTest_202009_DistStA,path4,path4_step6,Path4_DistStA,Path4_Step6,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step7,IHTest_202009_DistStA,path4,path4_step7,Path4_DistStA,Path4_Step7,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step8,IHTest_202009_DistStA,path4,path4_step8,Path4_DistStA,Path4_Step8,without_prior_cyl
IHTest_202009_DistStA/Path4_DistStA/Path4_Step9,IHTest_202009_DistStA,path4,path4_step9,Path4_DistStA,Path4_Step9,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step1,IHTest_202009_DistStA,path5,path5_step1,Path5_DistStA,Path5_Step1,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step10,IHTest_202009_DistStA,path5,path5_step10,Path5_DistStA,Path5_Step10,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step2,IHTest_202009_DistStA,path5,path5_step2,Path5_DistStA,Path5_Step2,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step3,IHTest_202009_DistStA,path5,path5_step3,Path5_DistStA,Path5_Step3,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step4,IHTest_202009_DistStA,path5,path5_step4,Path5_DistStA,Path5_Step4,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step5,IHTest_202009_DistStA,path5,path5_step5,Path5_DistStA,Path5_Step5,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step6,IHTest_202009_DistStA,path5,path5_step6,Path5_DistStA,Path5_Step6,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step7,IHTest_202009_DistStA,path5,path5_step7,Path5_DistStA,Path5_Step7,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step8,IHTest_202009_DistStA,path5,path5_step8,Path5_DistStA,Path5_Step8,without_prior_cyl
IHTest_202009_DistStA/Path5_DistStA/Path5_Step9,IHTest_202009_DistStA,path5,path5_step9,Path5_DistStA,Path5_Step9,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step1,IHTest_202009_DistStA,path6,path6_step1,Path6_DistStA,Path6_Step1,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step2,IHTest_202009_DistStA,path6,path6_step2,Path6_DistStA,Path6_Step2,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step3,IHTest_202009_DistStA,path6,path6_step3,Path6_DistStA,Path6_Step3,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step4,IHTest_202009_DistStA,path6,path6_step4,Path6_DistStA,Path6_Step4,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step5,IHTest_202009_DistStA,path6,path6_step5,Path6_DistStA,Path6_Step5,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step6,IHTest_202009_DistStA,path6,path6_step6,Path6_DistStA,Path6_Step6,without_prior_cyl
IHTest_202009_DistStA/Path6_DistStA/Path6_Step7,IHTest_202009_DistStA,path6,path6_step7,Path6_DistStA,Path6_Step7,without_prior_cyl
IHTest_202009_DistStA/Path7_DistStA/Path7_Step1,IHTest_202009_DistStA,path7,path7_step1,Path7_DistStA,Path7_Step1,without_prior_cyl
IHTest_202009_DistStA/Path7_DistStA/Path7_Step2,IHTest_202009_DistStA,path7,path7_step2,Path7_DistStA,Path7_Step2,without_prior_cyl
IHTest_202009_DistStA/Path7_DistStA/Path7_Step3,IHTest_202009_DistStA,path7,path7_step3,Path7_DistStA,Path7_Step3,without_prior_cyl
IHTest_202009_DistStA/Path7_DistStA/Path7_Step4,IHTest_202009_DistStA,path7,path7_step4,Path7_DistStA,Path7_Step4,without_prior_cyl
IHTest_202009_DistStA/Path7_DistStA/Path7_Step5,IHTest_202009_DistStA,path7,path7_step5,Path7_DistStA,Path7_Step5,without_prior_cyl
IHTest_202009_DistStA/Path8_DistStA/Path8_Step1,IHTest_202009_DistStA,path8,path8_step1,Path8_DistStA,Path8_Step1,without_prior_cyl
IHTest_202009_DistStA/Path8_DistStA/Path8_Step2,IHTest_202009_DistStA,path8,path8_step2,Path8_DistStA,Path8_Step2,without_prior_cyl
IHTest_202009_DistStA/Path8_DistStA/Path8_Step3,IHTest_202009_DistStA,path8,path8_step3,Path8_DistStA,Path8_Step3,without_prior_cyl
IHTest_202104_DistStA/Path10_DistStA/Path10_Step1,IHTest_202104_DistStA,path10,path10_step1,Path10_DistStA,Path10_Step1,without_prior_cyl
IHTest_202104_DistStA/Path1_DistStA/Path1_Step0,IHTest_202104_DistStA,path1,path1_step0,Path1_DistStA,Path1_Step0,without_prior_cyl
IHTest_202104_DistStA/Path26_DistStA/Path26_Step1,IHTest_202104_DistStA,path26,path26_step1,Path26_DistStA,Path26_Step1,without_prior_cyl
IHTest_202104_DistStA/Path26_DistStA/Path26_Step37,IHTest_202104_DistStA,path26,path26_step37,Path26_DistStA,Path26_Step37,without_prior_cyl
IHTest_202104_DistStA/Path31_DistStA/Path31_Step1,IHTest_202104_DistStA,path31,path31_step1,Path31_DistStA,Path31_Step1,without_prior_cyl
IHTest_202104_DistStA/Path31_DistStA/Path31_Step40,IHTest_202104_DistStA,path31,path31_step40,Path31_DistStA,Path31_Step40,without_prior_cyl
IHTest_202104_DistStA/Path34_DistStA/Path34_Step1,IHTest_202104_DistStA,path34,path34_step1,Path34_DistStA,Path34_Step1,without_prior_cyl
IHTest_202104_DistStA/Path34_DistStA/Path34_Step2,IHTest_202104_DistStA,path34,path34_step2,Path34_DistStA,Path34_Step2,without_prior_cyl
IHTest_202104_DistStA/Path35_DistStA/Path35_Step1,IHTest_202104_DistStA,path35,path35_step1,Path35_DistStA,Path35_Step1,without_prior_cyl
IHTest_202104_DistStA/Path36_DistStA/Path36_Step1,IHTest_202104_DistStA,path36,path36_step1,Path36_DistStA,Path36_Step1,without_prior_cyl
IHTest_202104_DistStA/Path36_DistStA/Path36_Step11,IHTest_202104_DistStA,path36,path36_step11,Path36_DistStA,Path36_Step11,without_prior_cyl
IHTest_202104_DistStA/Path36_DistStA/Path36_Step6,IHTest_202104_DistStA,path36,path36_step6,Path36_DistStA,Path36_Step6,without_prior_cyl
IHTest_202104_DistStA/Path5_DistStA/Path5_Step1,IHTest_202104_DistStA,path5,path5_step1,Path5_DistStA,Path5_Step1,without_prior_cyl
IHTest_202104_DistStA/Path5_DistStA/Path5_Step4,IHTest_202104_DistStA,path5,path5_step4,Path5_DistStA,Path5_Step4,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step1,IHTest_202108_DistStA,path12,path12_step1,Path12_DistStA,Path12_Step1,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step2,IHTest_202108_DistStA,path12,path12_step2,Path12_DistStA,Path12_Step2,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step3,IHTest_202108_DistStA,path12,path12_step3,Path12_DistStA,Path12_Step3,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step4,IHTest_202108_DistStA,path12,path12_step4,Path12_DistStA,Path12_Step4,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step5,IHTest_202108_DistStA,path12,path12_step5,Path12_DistStA,Path12_Step5,without_prior_cyl
IHTest_202108_DistStA/Path12_DistStA/Path12_Step6,IHTest_202108_DistStA,path12,path12_step6,Path12_DistStA,Path12_Step6,without_prior_cyl
IHTest_202108_DistStA/Path14_DistStA/Path14_Step1,IHTest_202108_DistStA,path14,path14_step1,Path14_DistStA,Path14_Step1,without_prior_cyl
